,short_ma,long_ma,signal,regime,cumulative_return,sharpe
1338,10,37,18,1.0,1.0125870245361344,0.010913675283776042
1419,12,28,20,1.0,1.0125870245361344,0.010913675283776042
1436,12,37,15,1.0,1.0125870245361344,0.010913675283776042
1527,13,33,16,1.0,1.0125870245361344,0.010913675283776042
1725,16,33,13,1.0,1.0125870245361344,0.010913675283776042
1833,18,37,10,1.0,1.0125870245361344,0.010913675283776042
1913,20,33,10,1.0,1.0125870245361344,0.010913675283776042
1028,6,33,18,1.0,1.0121386022949215,0.010649982049372607
1821,18,33,6,1.0,1.0121386022949215,0.010649982049372607
1348,10,42,18,1.0,1.0106755889892591,0.009270232269960323
1446,12,42,15,1.0,1.0106755889892591,0.009270232269960323
1744,16,42,11,1.0,1.0106755889892591,0.009270232269960323
1843,18,42,10,1.0,1.0106755889892591,0.009270232269960323
1702,16,24,8,1.0,1.0103140875244139,0.008787719676863552
1545,13,42,13,1.0,1.010083557739259,0.008758723262974817
1584,13,60,11,1.0,1.0098048999023441,0.008476323276963842
1339,10,37,20,1.0,1.0095790557861342,0.008317400675513027
1834,18,37,11,1.0,1.0095790557861342,0.008317400675513027
1923,20,37,10,1.0,1.0095790557861342,0.008317400675513027
1428,12,33,18,1.0,1.0089870245361343,0.007805652444033378
1437,12,37,16,1.0,1.0089870245361343,0.007805652444033378
1536,13,37,15,1.0,1.0089870245361343,0.007805652444033378
1635,15,37,13,1.0,1.0089870245361343,0.007805652444033378
1914,20,33,11,1.0,1.0089870245361343,0.007805652444033378
1000,6,24,5,1.0,1.008864862060547,0.00704790780625171
1364,10,51,11,1.0,1.008206003417969,0.007228758703460035
1349,10,42,20,1.0,1.0080556365966802,0.007035198149662178
1933,20,42,10,1.0,1.0080556365966802,0.007035198149662178
1257,9,46,16,1.0,1.0074067535400388,0.006437826223844873
1445,12,42,13,1.0,1.0074067535400388,0.006437826223844873
1418,12,28,18,1.0,1.0071249206542976,0.0061963704960841205
1427,12,33,16,1.0,1.0071249206542976,0.0061963704960841205
1526,13,33,15,1.0,1.0071249206542976,0.0061963704960841205
1625,15,33,13,1.0,1.0071249206542976,0.0061963704960841205
1734,16,37,11,1.0,1.0071249206542976,0.0061963704960841205
1824,18,33,11,1.0,1.0071249206542976,0.0061963704960841205
1904,20,28,11,1.0,1.0071249206542976,0.0061963704960841205
1376,10,55,15,1.0,1.007124608154296,0.006198728435799506
1673,15,55,10,1.0,1.007124608154296,0.006198728435799506
1429,12,33,20,1.0,1.006954497070313,0.006081810140978263
1438,12,37,18,1.0,1.006954497070313,0.006081810140978263
1356,10,46,15,1.0,1.0067731597900387,0.005894512488964235
1653,15,46,10,1.0,1.0067731597900387,0.005894512488964235
1819,18,28,20,1.0,1.006493757324218,0.0055274036981835225
1908,20,28,18,1.0,1.006493757324218,0.0055274036981835225
1265,9,51,13,1.0,1.0063883471679695,0.005629709428756216
