,short_ma,long_ma,signal,regime,cumulative_return,sharpe
304,20,60,6,,1.858945582542415,0.366756491226574
305,20,55,6,,1.8582726688766547,0.36699852735907484
306,10,60,10,,1.8580165985488861,0.3676818510977776
307,9,37,10,,1.8563464738464388,0.3702858721554443
308,9,28,5,,1.8554231196212756,0.3576873195885665
309,6,55,6,,1.8554201897049025,0.363869350564775
310,7,37,6,,1.8534701892852743,0.3644131335118663
311,20,55,5,,1.852843115730284,0.366272676163834
312,10,33,10,,1.852709429664615,0.3719547919434563
313,20,33,6,,1.8521652056884754,0.36159196092497714
314,6,51,15,,1.8521040269470235,0.3669994039378195
315,16,51,6,,1.851149688720706,0.3663497270329299
316,7,60,20,,1.8483673666381881,0.36265625049589034
317,12,20,11,,1.847550889930724,0.3697730571886142
318,20,51,5,,1.8473176374435367,0.3633069556421004
319,18,20,8,,1.8472697400665319,0.3658519092839276
320,12,55,8,,1.8454913912963866,0.36532265215672666
321,7,51,5,,1.8451424914932275,0.36091054742883105
322,6,60,16,,1.8442722280502268,0.36166792223338096
323,20,42,5,,1.8433659170150847,0.36261123096407655
324,10,37,10,,1.8416318822097806,0.3672002899276652
325,13,33,8,,1.8413855693817092,0.3687200853531293
326,16,46,6,,1.8398788627243092,0.3631707325078999
327,13,51,8,,1.8393711658096368,0.36288193161031984
328,9,60,11,,1.8350614513015688,0.36036703766922895
329,10,28,10,,1.8318028112411486,0.36535937753945186
330,9,24,10,,1.82844655418396,0.36365779913400703
331,13,20,8,,1.8249790322113055,0.36329512702859906
332,6,60,20,,1.8247039049911502,0.3559087784050449
333,9,33,5,,1.8244969377517744,0.3546552120346981
334,6,55,20,,1.824356359214774,0.35620054396009865
335,18,60,6,,1.824149829788209,0.35558261036927097
336,7,46,5,,1.8220625732040394,0.3528346211228381
337,12,42,8,,1.821052120857237,0.35976241501231937
338,6,46,16,,1.8176439714813295,0.3560486182518237
339,6,51,16,,1.8171718191146893,0.35543090927602633
340,7,24,15,,1.815647205886835,0.3583643292253187
341,7,20,18,,1.8146797349166834,0.357922916872775
342,10,20,11,,1.8124660270309432,0.35955492924708277
343,6,51,6,,1.8117551593017591,0.3499955946294508
344,15,20,15,,1.8114438259887733,0.34680290240931494
345,9,24,13,,1.8109492844390929,0.35894929353901806
346,9,37,11,,1.8101686750793538,0.35712100257995305
347,9,55,11,,1.8072062569808927,0.35252253968675146
348,9,46,11,,1.807187914772036,0.3535508408749278
349,13,37,8,,1.8055177873611477,0.3545578580584363
350,7,60,18,,1.8053617254638665,0.3492926583249753
351,12,60,8,,1.8049810361862306,0.3508754439341762
352,18,37,6,,1.8037678272628803,0.3470758197494679
353,12,46,8,,1.7985651615524287,0.35053650977222306
354,7,33,5,,1.7982399020385749,0.3411619870041185
355,10,51,11,,1.7964130041503867,0.3488614720408785
356,6,20,5,,1.7954969060897843,0.3320514184482828
357,6,20,8,,1.7937226432418807,0.3324717536664982
358,6,37,5,,1.7919776819229178,0.3401593935540563
359,7,28,6,,1.7894549388885532,0.33648158897690933
360,9,42,11,,1.7887201042175291,0.34905737135941534
361,12,37,8,,1.7877335328292867,0.350054351760518
362,20,60,20,,1.787606915779113,0.3534117601932449
363,12,24,5,,1.787083955230717,0.34587979962649934
364,18,46,6,,1.7867290833282472,0.3440223026124187
365,6,60,18,,1.786543379974359,0.34337913143302606
366,16,24,8,,1.7804479389572145,0.3415656772464319
367,6,37,18,,1.7802528054809605,0.33941121685344744
368,7,46,15,,1.7799137907791178,0.3443750235733682
369,20,46,5,,1.7795209123229985,0.34238971673345764
370,18,33,6,,1.7780125265502953,0.33937203994908294
371,10,42,11,,1.7770465736007708,0.33833271799605596
372,7,37,16,,1.7768817653274513,0.3383446966372761
373,15,60,6,,1.7767213026046693,0.34136422908655495
374,13,55,8,,1.7733853001403883,0.3406161056851256
375,16,20,8,,1.7695315285873396,0.34311428497788815
376,10,55,10,,1.7680138956832874,0.3392581423123162
377,6,33,18,,1.7673533326721211,0.33592798094143267
378,7,33,15,,1.767320399436955,0.3377459503497129
379,6,46,18,,1.7655405834579474,0.33704155503601885
380,7,42,16,,1.7623172993469236,0.3342557193765037
381,7,33,6,,1.7622694805526762,0.3272721262799127
382,18,42,6,,1.7608365242385864,0.3304712191729079
383,6,46,5,,1.7580138523864757,0.32651107994022155
384,10,24,11,,1.7563990312576259,0.33850301751192896
385,7,37,5,,1.7542249863052424,0.325615738102002
386,13,60,8,,1.7524761839294478,0.3330629031149719
387,9,42,10,,1.751297353897098,0.3365076524015347
388,16,28,8,,1.7505887361526515,0.32768805857616556
389,7,51,15,,1.7494815567398148,0.3329259216249984
390,18,55,6,,1.74827403263093,0.32969275631183237
391,7,55,15,,1.7479517333602876,0.3321732326098777
392,10,46,11,,1.7471965100479037,0.32858385940876744
393,7,51,16,,1.746936809043882,0.3319722396232785
394,20,60,18,,1.7456051938629076,0.32800747032182787
395,18,60,20,,1.7456051938629076,0.32800747032182787
396,10,42,10,,1.7448274566268904,0.33431185092362936
397,6,55,5,,1.7413655876159622,0.3203919924663838
398,9,28,15,,1.740949408149723,0.3247475585869313
399,10,24,5,,1.7403407894516025,0.320368462438074
400,13,28,13,,1.7392558105087244,0.32291380605643666
401,6,24,5,,1.7379142633438078,0.31674295483576265
402,9,20,15,,1.7369911713790844,0.3318691696858597
403,6,42,6,,1.7362216397857657,0.325596789137069
404,6,60,15,,1.735252208061225,0.3274900257067596
405,7,60,16,,1.7327959463119484,0.32550612308273374
406,20,24,8,,1.7326071652603197,0.3222353405357346
407,9,33,15,,1.7295437002944922,0.319331190983333
408,6,42,18,,1.7281314699172925,0.31964689056493173
409,16,28,10,,1.7267262530899106,0.31920661111296184
410,6,20,6,,1.724270415115347,0.30529007498136895
411,15,28,11,,1.723938095932012,0.3182060069270185
412,6,33,5,,1.7229229884338402,0.31565489429129595
413,7,60,13,,1.7225289833450346,0.3231490013171555
414,6,51,5,,1.721798907623285,0.3132079560161313
415,6,46,6,,1.7204204331588733,0.3200008356047006
416,9,20,16,,1.7203750330352783,0.3239712411992309
417,18,28,8,,1.7196725871658312,0.3173146972222127
418,13,20,18,,1.7174547271728522,0.3143260394715778
419,18,20,13,,1.7174547271728522,0.3143260394715778
420,12,24,16,,1.7138589254379224,0.3143657341670332
421,6,28,5,,1.713244111862181,0.30861956804299157
422,6,55,18,,1.712084248352045,0.3175084477928293
423,20,55,20,,1.7080545618438772,0.31448962513065365
424,7,42,5,,1.7067991453933757,0.31119291169733715
425,9,60,20,,1.7033779153060948,0.30690010754057045
426,10,33,11,,1.7010390368652366,0.3144008203748406
427,9,28,13,,1.6982564811706502,0.31340758117951034
428,7,60,15,,1.696817481231696,0.3136269149368549
429,18,24,8,,1.696030972633362,0.30988632530908294
430,10,28,16,,1.6949129347991867,0.3084620127211169
431,7,33,16,,1.6948044032669072,0.31218266634524583
432,7,55,16,,1.6935770987701353,0.3136209423335789
433,18,33,8,,1.6916025368118335,0.30646606199454424
434,10,28,13,,1.689700472755426,0.3079305890623544
435,9,20,20,,1.6892269640350337,0.30690771755148893
436,10,55,11,,1.689156140708919,0.3111323088943758
437,10,37,11,,1.6887064698410064,0.3096574048922438
438,7,37,15,,1.6873545710372853,0.30895539879084755
439,16,24,11,,1.6866440993499714,0.3055277412653147
440,18,51,6,,1.686633989944454,0.3093237881200705
441,13,24,15,,1.685882433776857,0.30395486736232613
442,15,24,13,,1.685882433776857,0.30395486736232613
443,20,51,6,,1.683394802551268,0.30762422072087225
444,15,37,8,,1.6830673693466198,0.3033008246841325
445,9,55,13,,1.680081864013672,0.30821343283128744
446,13,28,10,,1.6793045478057869,0.30430055933971106
447,18,24,11,,1.6779545449066238,0.30147218578870505
448,12,42,11,,1.6776917115020769,0.2999362091506439
449,20,60,8,,1.6724439082717992,0.30187811163041944
450,12,20,18,,1.6651941497421276,0.2975185462946959
451,16,42,8,,1.6638955022048947,0.2953434613809939
452,6,51,18,,1.66354054233551,0.30122308027832906
453,12,24,11,,1.6630044272613491,0.29856861217723185
454,15,60,8,,1.6622238755035372,0.3004045630578257
455,6,33,6,,1.6618775693893328,0.29398487995018663
456,20,46,6,,1.6602078293609586,0.29597720738602995
457,7,24,20,,1.6571622359466498,0.29589225676496844
458,15,42,8,,1.6565628498458846,0.2942832508153844
459,10,42,13,,1.6544023621368449,0.2921269244451811
460,13,42,10,,1.6544023621368449,0.2921269244451811
461,6,37,6,,1.6523047026824977,0.2906868918128446
462,18,60,8,,1.652158915634153,0.295401360533694
463,6,51,20,,1.6521588124465945,0.2966368774915753
464,7,20,6,,1.6519373957443317,0.28214454579844006
465,12,28,20,,1.650956028213505,0.28680834519055454
466,16,37,8,,1.6497679970169048,0.292091764259302
467,12,33,11,,1.6496415224075287,0.29143438833423346
468,7,33,18,,1.6496009261322,0.29180969906009396
469,9,24,20,,1.647925145034788,0.2920407659889837
470,12,20,13,,1.6476422251892164,0.2919374721427621
471,7,28,18,,1.645768564491279,0.29151395707894806
472,7,46,16,,1.6452705744552591,0.2920532321111407
473,6,28,6,,1.6446449178314175,0.2905761234160426
474,15,28,10,,1.644027922401434,0.2907938008884157
475,7,28,5,,1.643844427947996,0.29001402006739363
476,7,20,5,,1.6407779264068645,0.28526460801503295
477,9,24,18,,1.6399320463562013,0.2890937225707423
478,16,60,8,,1.6394911458969055,0.2916224700621745
479,20,37,6,,1.638351005439761,0.2893154966069369
480,13,24,10,,1.638289685058589,0.28985595878643866
481,10,24,13,,1.638289685058589,0.28985595878643866
482,9,42,13,,1.6381235279846162,0.28792846482142365
483,12,24,13,,1.635234538078305,0.28802680541708736
484,16,33,8,,1.6348881237030044,0.28656591799244646
485,9,20,5,,1.6345510909652705,0.27876762019340123
486,20,28,8,,1.6343201170730601,0.2863546953152162
487,9,24,16,,1.6341106138992298,0.288230627687568
488,9,60,13,,1.6331259194183307,0.29076448988409453
489,15,51,8,,1.6300994445800807,0.28663000239354364
490,20,42,6,,1.629626596908574,0.285527862929944
491,16,28,15,,1.6281757133483932,0.27946545059125455
492,15,28,16,,1.6281757133483932,0.27946545059125455
493,16,24,15,,1.6273728112793002,0.27997317379742803
494,15,24,16,,1.6273728112793002,0.27997317379742803
495,12,46,10,,1.6273051376342795,0.28219290790735363
496,6,46,20,,1.6264640321350077,0.2840831922389805
497,9,37,16,,1.6260631995010453,0.2822988623717499
498,12,28,13,,1.6256859883880608,0.2840907506059694
499,12,37,10,,1.6244017433929383,0.28291845293132223
500,13,33,11,,1.6243784836959878,0.2829603595578487
501,15,55,8,,1.6243517489242605,0.2876664535436749
502,10,28,15,,1.6237629253005987,0.2835770639783859
503,10,24,15,,1.6235451401519791,0.2839776068171372
504,9,28,16,,1.621324023323058,0.28244249477556066
505,9,37,13,,1.6206623902130084,0.2814763448591841
506,7,55,20,,1.6205827494812024,0.2841915109088186
507,15,20,10,,1.6199634365844688,0.28472102349258227
508,12,37,11,,1.619919106559756,0.2810795033790587
509,12,28,11,,1.619590992126465,0.2821814783900879
510,10,20,15,,1.619301819725036,0.2844684608813374
511,13,60,10,,1.6191067342376777,0.28533444581745404
512,18,37,8,,1.6160706594085699,0.27870215366394874
513,16,20,13,,1.6147920344161968,0.27947842526055194
514,15,24,10,,1.6145082910919202,0.28067568077171495
515,18,24,10,,1.6122024726104753,0.2793827802435613
