,short_ma,long_ma,signal,cumulative_return,sharpe
369,6,43,6,0.8798307641601624,-0.047373205424314134
5473,14,34,6,0.8797180249023431,-0.04822719090857549
441,6,47,14,0.8794170013427737,-0.0484495160520934
1976,9,20,13,0.8793948858642591,-0.04815625957043211
4596,13,20,9,0.8793948858642591,-0.04815625957043211
2646,10,21,11,0.8792165820312461,-0.04819312318420146
3301,11,21,10,0.8792165820312461,-0.04819312318420146
3602,11,40,7,0.8791070751953141,-0.04848192747347085
982,7,40,11,0.8791070751953141,-0.04848192747347085
305,6,39,6,0.8785272174072274,-0.04771807953223755
1942,8,59,11,0.8784842272949187,-0.04874838518190452
289,6,38,6,0.8784259655761679,-0.047768626485897844
3554,11,37,7,0.8779818365478551,-0.048982170657548264
934,7,37,11,0.8779818365478551,-0.048982170657548264
3140,10,52,9,0.8779019219970683,-0.0491103413075682
2485,9,52,10,0.8779019219970683,-0.0491103413075682
149,6,29,10,0.8778841101074226,-0.04791227262803859
3763,11,50,8,0.8773763018798825,-0.04938913429412435
1798,8,50,11,0.8773763018798825,-0.04938913429412435
3618,11,41,7,0.8765280590820311,-0.04953563271804208
998,7,41,11,0.8765280590820311,-0.04953563271804208
3986,12,23,7,0.8764226208496072,-0.04865639026548173
711,7,23,12,0.8764226208496072,-0.04865639026548173
93,6,25,18,0.8763351776123063,-0.049735061225892475
204,6,32,17,0.876076619262695,-0.0498876265366453
5665,14,46,6,0.8760451757812484,-0.04991561628747581
2007,9,22,12,0.8759458410644526,-0.0494747848446435
4627,13,22,8,0.8756520654296908,-0.04954563331155171
1352,8,22,13,0.8756520654296908,-0.04954563331155171
1024,7,43,5,0.875266805419924,-0.04926459525897307
353,6,42,6,0.8752112310791031,-0.049328617955000764
312,6,39,13,0.8749121508789041,-0.050169585500924464
4897,13,39,6,0.8748104486083975,-0.050197621589685944
3795,11,52,8,0.8747398486328171,-0.0504259086883394
1830,8,52,11,0.8747398486328171,-0.0504259086883394
3443,11,30,8,0.8747010974121078,-0.049971768931994814
1478,8,30,11,0.8747010974121078,-0.049971768931994814
2212,9,35,9,0.8745990637207035,-0.05039290471044832
3283,11,20,8,0.8745028717041018,-0.049519526224426756
1318,8,20,11,0.8745028717041018,-0.049519526224426756
7409,17,32,6,0.8736882220458976,-0.050883003085420646
967,7,39,12,0.8736057116699193,-0.05097368920259933
9392,20,34,5,0.8734411572265629,-0.051034231512681355
